epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.32267,1.40211,3.44262,2.62804,1.71288,0.5896,0.6045,0.56646,0.34583,0.44911,0.41158,0.35168,0.1538,1.2409,4.14504,2.92431,1.66342,0.0901,0.0001,0.0001
2,10.1695,1.05884,2.14485,1.3245,1.3772,0.58271,0.75563,0.65786,0.40246,0.40437,0.33836,0.28355,0.15124,1.24768,29.351,2.07965,1.51192,0.07921,0.000209994,0.000209994
3,13.105,1.15987,2.14616,1.131,1.42394,0.65841,0.68167,0.65586,0.45104,0.30621,0.30868,0.18019,0.09524,1.06692,34.3635,1.4029,1.41176,0.06832,0.000319965,0.000319965
4,16.3213,1.00899,1.80399,1.04382,1.33692,0.58242,0.73633,0.68589,0.42596,0.38696,0.51768,0.3642,0.19486,1.07582,20.6267,1.9835,1.49602,0.0574299,0.000429895,0.000429895
5,19.5602,1.0984,2.24541,1.12253,1.4073,0.63686,0.80386,0.73642,0.48818,0.39856,0.49839,0.27932,0.15431,1.03924,21.4123,2.73198,1.48976,0.0465398,0.000539766,0.000539766
6,22.3047,1.07722,1.93244,0.98083,1.3843,0.60794,0.78778,0.69068,0.46409,0.39224,0.50482,0.31615,0.13109,0.96064,12.2357,2.017,1.45868,0.0356496,0.000649559,0.000649559
7,25.1682,1.05032,1.91903,0.99244,1.37833,0.65118,0.78778,0.74323,0.43836,0.43586,0.50804,0.3553,0.1286,1.13576,10.1273,2.36741,1.54596,0.0247593,0.000759258,0.000759258
8,28.1768,1.07581,2.08388,0.9761,1.38105,0.57887,0.64952,0.65147,0.43622,0.44378,0.50804,0.40417,0.16148,0.93584,7.09559,5.28882,1.35426,0.0138688,0.000868843,0.000868843
9,28.6326,1.02237,2.09988,0.9628,1.36633,0.54614,0.82958,0.70277,0.44565,0.41515,0.62379,0.39167,0.16424,0.9894,7.02247,5.3144,1.44322,0.0029783,0.000978299,0.000978299
10,31.2767,1.04834,2.08682,0.97473,1.36148,0.61336,0.79573,0.73138,0.4763,0.56766,0.71349,0.64633,0.31871,1.00017,3.48673,1.87231,1.40397,0.000997803,0.000997803,0.000997803
11,34.0186,0.93971,1.79296,0.92214,1.28263,0.72356,0.85531,0.81725,0.56502,0.64468,0.76206,0.64775,0.33983,0.89329,3.36286,2.02534,1.35934,0.000997288,0.000997288,0.000997288
12,36.9,1.0056,2.08042,0.91869,1.34473,0.74682,0.80386,0.78121,0.52715,0.72625,0.8104,0.7621,0.465,0.96822,2.3089,1.62456,1.39082,0.00099672,0.00099672,0.00099672
13,39.5877,1.05752,2.05572,0.93403,1.39194,0.71733,0.75887,0.74506,0.49879,0.67839,0.72573,0.67455,0.34732,0.98193,3.44215,1.55306,1.42497,0.000996097,0.000996097,0.000996097
14,42.1694,0.95459,1.86974,0.84886,1.30779,0.7469,0.82552,0.80076,0.57306,0.74399,0.82231,0.80163,0.52173,0.88586,2.29965,1.30721,1.34135,0.00099542,0.00099542,0.00099542
15,44.8712,0.94845,1.92797,0.81205,1.2975,0.59676,0.7717,0.70357,0.47849,0.61661,0.78088,0.71405,0.43837,0.99978,2.36783,1.6594,1.39864,0.00099469,0.00099469,0.00099469
16,47.5042,0.96632,1.9391,0.82211,1.34727,0.7357,0.76974,0.7797,0.54249,0.73381,0.78892,0.78741,0.51154,0.96518,2.18108,1.16709,1.36147,0.000993906,0.000993906,0.000993906
17,50.1161,0.97702,1.8497,0.84515,1.32855,0.8056,0.78618,0.84848,0.61838,0.80695,0.77955,0.85001,0.57175,0.89876,2.1971,1.06846,1.29937,0.000993068,0.000993068,0.000993068
18,53.1211,0.91576,1.69543,0.86183,1.273,0.71577,0.80386,0.82494,0.59893,0.72885,0.81029,0.83227,0.58265,0.86943,2.10935,1.72153,1.27555,0.000992177,0.000992177,0.000992177
19,55.9015,0.95305,1.75499,0.82714,1.29026,0.70883,0.72799,0.77558,0.54814,0.72449,0.74407,0.7927,0.55022,1.01227,1.96983,1.59281,1.34306,0.000991232,0.000991232,0.000991232
20,56.7718,1.03191,1.91539,0.84087,1.35594,0.78155,0.80707,0.81334,0.57292,0.78952,0.81029,0.81063,0.55277,0.94122,1.88717,0.99904,1.28398,0.000990234,0.000990234,0.000990234
