epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,7.74673,1.27803,3.39847,2.59566,1.50412,0,0.03476,0.89754,0.13111,0.06377,0.03111,0.80328,0.0944,0.04038,1.21456,5.50938,2.71239,1.71657,0,0.00012,0.00012,0.08812
2,9.27283,0.87586,1.98503,1.74508,1.17853,0,0.05566,0.82377,0.4736,0.28969,0.05018,0.65164,0.33166,0.13313,1.19633,6.12214,2.33402,1.66291,0,0.00025,0.00025,0.07525
3,10.5913,0.71654,1.5048,1.30238,1.03693,0,0.70684,0.42492,0.53826,0.36615,0.50757,0.30328,0.29764,0.10897,1.14494,14.9855,2.0201,1.52321,0,0.000379998,0.000379998,0.06238
4,11.9432,0.71261,1.35533,1.13202,1.02953,0,0.77125,0.56967,0.68648,0.45609,0.38138,0.31557,0.24549,0.07709,0.98354,16.4082,1.75609,1.32355,0,0.000509995,0.000509995,0.04951
5,13.5099,0.66628,1.25105,1.01159,1.00346,0,0.82159,0.72951,0.80361,0.57634,0.52011,0.46721,0.40031,0.1632,0.89733,11.842,1.62227,1.22745,0,0.000639989,0.000639989,0.03664
6,14.8319,0.64218,1.21036,0.92377,0.98605,0,0.81118,0.7582,0.82608,0.6158,0.71033,0.66393,0.65299,0.27956,0.87537,7.46093,1.41004,1.18863,0,0.000769979,0.000769979,0.02377
7,16.1503,0.60275,1.12821,0.86486,0.96072,0,0.79323,0.79508,0.83452,0.6444,0.73793,0.75011,0.76266,0.39354,0.81089,5.50788,1.23631,1.16132,0,0.000899965,0.000899965,0.0109
8,17.5174,0.57608,1.04437,0.80575,0.93711,0,0.87436,0.71303,0.84195,0.63458,0.86635,0.68033,0.78916,0.51206,0.85501,3.7877,1.13469,1.18911,0,0.000999947,0.000999947,0.000999947
9,18.9492,0.5403,1.00474,0.76092,0.90982,0,0.81146,0.8643,0.87014,0.62679,0.74696,0.77426,0.75351,0.49524,0.89725,3.26437,1.03738,1.21019,0,0.000999931,0.000999931,0.000999931
10,20.2758,0.51342,0.89935,0.71445,0.89359,0,0.82076,0.84836,0.87962,0.65106,0.81156,0.81195,0.83553,0.56073,0.82136,2.59077,0.98006,1.15357,0,0.000999912,0.000999912,0.000999912
11,21.8792,0.49596,0.84971,0.69037,0.89132,0,0.80949,0.86066,0.86392,0.62555,0.8262,0.83775,0.85925,0.61537,0.89615,2.07844,0.98075,1.247,0,0.000999891,0.000999891,0.000999891
12,23.2748,0.43816,0.833,0.64658,0.86276,0,0.80272,0.83607,0.84887,0.62476,0.8287,0.78279,0.83731,0.5998,0.8508,2.06915,1.00831,1.19455,0,0.000999869,0.000999869,0.000999869
13,24.6621,0.48341,0.85025,0.79442,0.89862,0,0.79052,0.80424,0.824,0.61663,0.77905,0.79477,0.80907,0.60217,0.82829,1.81944,1.03451,1.14292,0,0.000999844,0.000999844,0.000999844
14,26.044,0.4207,0.78378,0.61967,0.8643,0,0.81046,0.80613,0.84449,0.60026,0.81042,0.80593,0.82697,0.56858,0.92514,2.1232,0.96862,1.21648,0,0.000999817,0.000999817,0.000999817
15,27.4032,0.43318,0.73847,0.59038,0.85374,0,0.83525,0.78954,0.85483,0.62443,0.84392,0.79774,0.83694,0.5863,0.89534,2.12246,0.96082,1.21628,0,0.000999787,0.000999787,0.000999787
16,28.7433,0.39225,0.68624,0.55016,0.84078,0,0.83511,0.80738,0.85753,0.60289,0.82663,0.79918,0.84546,0.57325,0.98089,2.14987,0.97949,1.27231,0,0.000999756,0.000999756,0.000999756
17,30.2456,0.40753,0.68959,0.5431,0.84767,0,0.81143,0.86412,0.8627,0.62032,0.82445,0.81148,0.84073,0.59417,0.85726,2.04347,0.94162,1.20833,0,0.000999722,0.000999722,0.000999722
18,31.5958,0.38925,0.64881,0.52626,0.83888,0,0.84469,0.82377,0.85013,0.62389,0.83355,0.81148,0.83121,0.59546,0.85162,1.98973,0.96121,1.17963,0,0.000999686,0.000999686,0.000999686
19,32.9585,0.40417,0.63566,0.51515,0.83413,0,0.79696,0.8365,0.86005,0.61286,0.7923,0.83197,0.84175,0.60402,0.89915,2.0175,0.95292,1.20177,0,0.000999648,0.000999648,0.000999648
20,34.3498,0.34631,0.60744,0.48626,0.82328,0,0.82899,0.89344,0.87633,0.67407,0.81757,0.88161,0.86892,0.66281,0.76719,1.77761,0.87057,1.13741,0,0.000999608,0.000999608,0.000999608
21,35.6894,0.32694,0.576,0.48171,0.81237,0,0.83294,0.8991,0.87686,0.66577,0.85228,0.85128,0.86368,0.65974,0.79182,1.81131,0.8606,1.15083,0,0.000999566,0.000999566,0.000999566
