epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0745,1.07623,2.9273,4.80967,0.01308,5.7406,0.34607,0.20082,0.19625,0.09853,0.33941,0.16803,0.1686,0.0753,1.32731,4.74126,4.42257,0.0151,0,0.00012,0.00012,0.08812
2,17.7005,1.3048,2.32603,2.50429,0.01479,1.91377,0.44209,0.38115,0.39557,0.18526,0.40936,0.27869,0.23125,0.0956,1.69688,6.01064,4.11374,0.02039,0,0.00025,0.00025,0.07525
3,23.6378,1.03146,1.60706,1.30959,0.01095,1.58161,0.35145,0.20902,0.17318,0.09116,0.47087,0.13934,0.10713,0.04842,1.80238,13.3808,3.26146,0.02433,0,0.000379998,0.000379998,0.06238
4,29.3806,1.02953,1.50523,1.07642,0.01153,1.38069,0.58489,0.4793,0.48925,0.28399,0.61984,0.39426,0.40685,0.22258,1.66184,8.93081,1.93552,0.02071,0,0.000509995,0.000509995,0.04951
5,35.4662,1.15575,1.37655,0.87447,0.01346,1.18071,0.69664,0.59294,0.64294,0.38138,0.62762,0.52869,0.51706,0.27148,1.41714,5.15083,1.5342,0.01764,0,0.000639989,0.000639989,0.03664
6,41.5653,1.09783,1.4464,0.90796,0.01239,1.08801,0.67238,0.70654,0.70692,0.40899,0.72127,0.53279,0.60952,0.35904,1.52127,3.55152,1.32078,0.0182,0,0.000769979,0.000769979,0.02377
7,47.6258,1.03278,1.38114,0.7954,0.01182,1.21688,0.74555,0.67248,0.74647,0.50148,0.82071,0.63787,0.74905,0.51505,1.18746,2.38624,1.19444,0.01391,0,0.000899965,0.000899965,0.0109
8,53.6105,1.01095,1.09649,0.67229,0.01081,1.1053,0.65374,0.58197,0.60727,0.35591,0.6556,0.58607,0.5984,0.36186,1.44765,3.37325,1.56504,0.01822,0,0.000999947,0.000999947,0.000999947
9,59.463,0.98202,1.21667,0.71395,0.01155,1.12786,0.75836,0.79508,0.8069,0.51536,0.7324,0.77398,0.76672,0.50099,1.26489,2.21804,1.01134,0.01499,0,0.000999931,0.000999931,0.000999931
10,65.3073,0.94156,1.14941,0.56673,0.01055,0.99972,0.73448,0.81557,0.82494,0.55147,0.73927,0.77869,0.80389,0.5166,1.19726,2.39797,0.94343,0.01434,0,0.000999912,0.000999912,0.000999912
11,71.3786,0.87922,1.046,0.54011,0.00942,0.88779,0.75757,0.83197,0.82452,0.57069,0.8397,0.72951,0.79649,0.52858,1.08185,2.35906,0.91171,0.01273,0,0.000999891,0.000999891,0.000999891
12,77.515,0.7507,0.94328,0.44636,0.00805,0.75629,0.81662,0.7459,0.79909,0.57386,0.80992,0.73343,0.77811,0.56012,1.05058,2.10909,0.98155,0.01239,0,0.000999869,0.000999869,0.000999869
